id,name.local,name.en,name.slug,code.id,children_count.colline,geo.lat,geo.lon
BDI004001,Cankuzo,Cankuzo,cankuzo-bdi004001,BDI004001,21,-3.193,30.469
BDI004002,Cendajuru,Cendajuru,cendajuru-bdi004002,BDI004002,17,-3.314,30.602
BDI004003,Gisagara,Gisagara,gisagara-bdi004003,BDI004003,23,-3.211,30.729
BDI004004,Kigamba,Kigamba,kigamba-bdi004004,BDI004004,14,-3.036,30.522
BDI004005,Mishiha,Mishiha,mishiha-bdi004005,BDI004005,12,-3.071,30.721
