id,name.local,name.en,name.slug,code.id,children_count.colline,geo.lat,geo.lon
BDI007001,Bugenyuzi,Bugenyuzi,bugenyuzi-bdi007001,BDI007001,27,-3.093,30.077
BDI007002,Buhiga,Buhiga,buhiga-bdi007002,BDI007002,29,-3.089,30.194
BDI007003,Gihogazi,Gihogazi,gihogazi-bdi007003,BDI007003,21,-3.146,29.974
BDI007004,Gitaramuka,Gitaramuka,gitaramuka-bdi007004,BDI007004,26,-2.979,30.178
BDI007005,Mutumba,Mutumba,mutumba-bdi007005,BDI007005,12,-3.225,30.235
BDI007006,Nyabikere,Nyabikere,nyabikere-bdi007006,BDI007006,15,-3.252,30.15
BDI007007,Shombo,Shombo,shombo-bdi007007,BDI007007,16,-3.282,30.046
