id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.province,children_count.commune,children_count.colline,zip_codes,geo.lat,geo.lon
BDI001,1,Province,Province,Bubanza,Bubanza,bubanza-bdi001,BDI001,,,,,,5,88,,-3.117,29.399
BDI001001,2,Commune,Commune,Bubanza,Bubanza,bubanza-bdi001001,BDI001001,,BDI001,Bubanza,Bubanza,,,23,,-3.055,29.359
BDI001002,2,Commune,Commune,Gihanga,Gihanga,gihanga-bdi001002,BDI001002,,BDI001,Bubanza,Bubanza,,,13,,-3.207,29.296
BDI001003,2,Commune,Commune,Mpanda,Mpanda,mpanda-bdi001003,BDI001003,,BDI001,Bubanza,Bubanza,,,16,,-3.188,29.414
BDI001004,2,Commune,Commune,Musigati,Musigati,musigati-bdi001004,BDI001004,,BDI001,Bubanza,Bubanza,,,23,,-3.037,29.487
BDI001005,2,Commune,Commune,Rugazi,Rugazi,rugazi-bdi001005,BDI001005,,BDI001,Bubanza,Bubanza,,,13,,-3.202,29.476
BDI002,1,Province,Province,Bujumbura Rural,Bujumbura Rural,bujumbura-rural-bdi002,BDI002,,,,,,9,160,,-3.463,29.485
BDI002002,2,Commune,Commune,Isale,Isale,isale-bdi002002,BDI002002,,BDI002,Bujumbura Rural,Bujumbura Rural,,,17,,-3.365,29.465
BDI002003,2,Commune,Commune,Kabezi,Kabezi,kabezi-bdi002003,BDI002003,,BDI002,Bujumbura Rural,Bujumbura Rural,,,12,,-3.536,29.376
BDI002004,2,Commune,Commune,Kanyosha1,Kanyosha1,kanyosha1-bdi002004,BDI002004,,BDI002,Bujumbura Rural,Bujumbura Rural,,,22,,-3.432,29.41
BDI002005,2,Commune,Commune,Mubimbi,Mubimbi,mubimbi-bdi002005,BDI002005,,BDI002,Bujumbura Rural,Bujumbura Rural,,,16,,-3.295,29.482
BDI002006,2,Commune,Commune,Mugongomanga,Mugongomanga,mugongomanga-bdi002006,BDI002006,,BDI002,Bujumbura Rural,Bujumbura Rural,,,15,,-3.427,29.55
BDI002008,2,Commune,Commune,Mukike,Mukike,mukike-bdi002008,BDI002008,,BDI002,Bujumbura Rural,Bujumbura Rural,,,12,,-3.582,29.494
BDI002009,2,Commune,Commune,Mutambu,Mutambu,mutambu-bdi002009,BDI002009,,BDI002,Bujumbura Rural,Bujumbura Rural,,,17,,-3.527,29.446
BDI002010,2,Commune,Commune,Mutimbuzi,Mutimbuzi,mutimbuzi-bdi002010,BDI002010,,BDI002,Bujumbura Rural,Bujumbura Rural,,,32,,-3.308,29.379
BDI002012,2,Commune,Commune,Nyabiraba,Nyabiraba,nyabiraba-bdi002012,BDI002012,,BDI002,Bujumbura Rural,Bujumbura Rural,,,17,,-3.452,29.476
BDI003,1,Province,Province,Bururi,Bururi,bururi-bdi003,BDI003,,,,,,6,130,,-3.859,29.732
BDI003002,2,Commune,Commune,Bururi,Bururi,bururi-bdi003002,BDI003002,,BDI003,Bururi,Bururi,,,29,,-3.982,29.675
BDI003004,2,Commune,Commune,Matana,Matana,matana-bdi003004,BDI003004,,BDI003,Bururi,Bururi,,,13,,-3.743,29.71
BDI003005,2,Commune,Commune,Mugamba,Mugamba,mugamba-bdi003005,BDI003005,,BDI003,Bururi,Bururi,,,30,,-3.672,29.592
BDI003007,2,Commune,Commune,Rutovu,Rutovu,rutovu-bdi003007,BDI003007,,BDI003,Bururi,Bururi,,,23,,-3.885,29.821
BDI003008,2,Commune,Commune,Songa,Songa,songa-bdi003008,BDI003008,,BDI003,Bururi,Bururi,,,17,,-3.845,29.677
BDI003009,2,Commune,Commune,Vyanda,Vyanda,vyanda-bdi003009,BDI003009,,BDI003,Bururi,Bururi,,,18,,-4.077,29.601
BDI004,1,Province,Province,Cankuzo,Cankuzo,cankuzo-bdi004,BDI004,,,,,,5,87,,-3.145,30.591
BDI004001,2,Commune,Commune,Cankuzo,Cankuzo,cankuzo-bdi004001,BDI004001,,BDI004,Cankuzo,Cankuzo,,,21,,-3.193,30.469
BDI004002,2,Commune,Commune,Cendajuru,Cendajuru,cendajuru-bdi004002,BDI004002,,BDI004,Cankuzo,Cankuzo,,,17,,-3.314,30.602
BDI004003,2,Commune,Commune,Gisagara,Gisagara,gisagara-bdi004003,BDI004003,,BDI004,Cankuzo,Cankuzo,,,23,,-3.211,30.729
BDI004004,2,Commune,Commune,Kigamba,Kigamba,kigamba-bdi004004,BDI004004,,BDI004,Cankuzo,Cankuzo,,,14,,-3.036,30.522
BDI004005,2,Commune,Commune,Mishiha,Mishiha,mishiha-bdi004005,BDI004005,,BDI004,Cankuzo,Cankuzo,,,12,,-3.071,30.721
BDI005,1,Province,Province,Cibitoke,Cibitoke,cibitoke-bdi005,BDI005,,,,,,6,129,,-2.848,29.262
BDI005001,2,Commune,Commune,Buganda,Buganda,buganda-bdi005001,BDI005001,,BDI005,Cibitoke,Cibitoke,,,13,,-2.989,29.222
BDI005002,2,Commune,Commune,Bukinanyana,Bukinanyana,bukinanyana-bdi005002,BDI005002,,BDI005,Cibitoke,Cibitoke,,,30,,-2.867,29.366
BDI005003,2,Commune,Commune,Mabayi,Mabayi,mabayi-bdi005003,BDI005003,,BDI005,Cibitoke,Cibitoke,,,24,,-2.723,29.251
BDI005004,2,Commune,Commune,Mugina,Mugina,mugina-bdi005004,BDI005004,,BDI005,Cibitoke,Cibitoke,,,18,,-2.705,29.11
BDI005005,2,Commune,Commune,Murwi,Murwi,murwi-bdi005005,BDI005005,,BDI005,Cibitoke,Cibitoke,,,27,,-2.893,29.205
BDI005006,2,Commune,Commune,Rugombo,Rugombo,rugombo-bdi005006,BDI005006,,BDI005,Cibitoke,Cibitoke,,,17,,-2.829,29.115
BDI006,1,Province,Province,Gitega,Gitega,gitega-bdi006,BDI006,,,,,,11,268,,-3.452,29.964
BDI006001,2,Commune,Commune,Bugendana,Bugendana,bugendana-bdi006001,BDI006001,,BDI006,Gitega,Gitega,,,23,,-3.249,29.92
